team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Utah,1.34,West,Idaho St.,10.68,Eastern Wash.,1.95,CSU Bakersfield,12.95,Northern Ariz.,0.192,UC Davis,11.76,Chicago St.,0.348,Northern Ariz.,0.234,San Diego,32.99,Utah,153
Long Beach St.,1.33,West,San Francisco,10.65,CSU Bakersfield,1.94,Washington St.,12.87,Southern Utah,0.189,Fresno St.,11.71,Saint Mary's (CA),0.346,Arizona St.,0.236,Fresno St.,32.84,UNLV,152
Wyoming,1.31,West,CSUN,10.63,Portland,1.94,Boise St.,12.86,Cal St. Fullerton,0.187,Saint Mary's (CA),11.58,Portland,0.345,UC Riverside,0.238,Washington,32.79,Colorado St.,146
Colorado St.,1.28,West,UC Davis,10.61,Saint Mary's (CA),1.93,Portland,12.79,Montana St.,0.185,Idaho St.,11.48,Wyoming,0.333,Fresno St.,0.24,Utah Valley,32.77,Saint Mary's (CA),143
Idaho,1.28,West,Cal St. Fullerton,10.56,San Diego St.,1.92,Wyoming,12.73,Idaho,0.184,Portland,11.47,Southern Utah,0.292,Portland,0.24,CSU Bakersfield,32.67,BYU,141
Chicago St.,1.27,West,Northern Ariz.,10.54,Grand Canyon,1.86,Washington,12.59,Pacific,0.18,California,11.44,CSUN,0.281,Washington,0.245,BYU,32.59,Long Beach St.,138
Northern Ariz.,1.27,West,Southern Utah,10.54,Northern Ariz.,1.8,Air Force,12.58,California,0.179,Northern Ariz.,11.42,California,0.233,California,0.246,Southern California,32.59,Cal St. Fullerton,125
CSUN,1.27,West,Portland,10.51,Southern Utah,1.8,Saint Mary's (CA),12.47,Oregon St.,0.176,Nevada,11.39,Fresno St.,0.233,CSUN,0.248,Wyoming,32.58,Idaho,125
Arizona St.,1.27,West,Nevada,10.51,Gonzaga,1.79,Fresno St.,12.4,Chicago St.,0.173,CSUN,11.39,Oregon St.,0.233,San Diego St.,0.248,Portland,32.45,North Ala.,124
Seattle U,1.26,West,North Ala.,10.46,Washington,1.79,Santa Clara,12.4,Idaho St.,0.173,CSU Bakersfield,11.15,CSU Bakersfield,0.219,Saint Mary's (CA),0.259,Air Force,32.4,UC Irvine,122
North Ala.,1.2,West,CSU Bakersfield,10.25,Santa Clara,1.71,Colorado St.,12.31,CSU Bakersfield,0.171,UC Riverside,11.14,Northern Ariz.,0.217,Seattle U,0.26,Santa Clara,31.97,Northern Ariz.,117
Cal St. Fullerton,1.17,West,Idaho,10.22,Cal St. Fullerton,1.71,San Diego St.,12.25,Nevada,0.165,North Ala.,11.06,Gonzaga,0.207,Gonzaga,0.261,Colorado St.,31.88,Chicago St.,107
UC Irvine,1.09,West,UC Riverside,10.13,Portland St.,1.7,Utah Valley,12.05,Seattle U,0.165,Idaho,11.04,Seattle U,0.182,Santa Clara,0.261,Washington St.,31.84,Oregon St.,106
Oregon St.,0.93,West,Seattle U,9.87,UC Riverside,1.35,Idaho,12.01,Gonzaga,0.161,Seattle U,10.94,Idaho,0.143,Oregon St.,0.264,Idaho,31.34,Seattle U,98
Southern Utah,0.9,West,Gonzaga,8.93,Pacific,1.14,LMU (CA),11.36,UC Riverside,0.146,Gonzaga,9.85,UC Riverside,0.138,Idaho,0.267,LMU (CA),30.39,Southern Utah,84
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
