team...1,aces_per_set,region,team...4,assists_per_set,team...6,blocks_per_set,team...8,digs_per_set,team...10,hitting_pctg,team...12,kills_per_set,team...14,match_w_l_pctg,team...16,opp_hitting_pctg,team...18,team_attacks_per_set,team...20,team_service_aces
Wichita St.,1.26,Southeast,Mercer,10.71,Howard,1.73,Howard,13.2,N.C. A&T,0.173,East Carolina,11.61,UNC Greensboro,0.333,UNC Asheville,0.231,Hampton,32.6,UMES,141
Radford,1.25,Southeast,East Carolina,10.69,UNC Asheville,1.71,Auburn,13.02,Temple,0.171,Jacksonville,11.59,UMES,0.333,Missouri,0.231,Georgia,32.54,LSU,131
Morgan St.,1.25,Southeast,Presbyterian,10.59,UMES,1.69,Bethune-Cookman,12.88,Alabama,0.169,Coppin St.,11.54,Temple,0.323,Tennessee,0.232,N.C. A&T,32.52,Memphis,129
Hampton,1.25,Southeast,Coppin St.,10.56,Radford,1.68,Ole Miss,12.8,Furman,0.168,Presbyterian,11.51,Gardner-Webb,0.321,North Florida,0.233,Coppin St.,32.52,Radford,128
UNC Asheville,1.2,Southeast,N.C. A&T,10.49,Mercer,1.64,Delaware St.,12.58,Presbyterian,0.164,UNC Greensboro,11.45,Missouri,0.321,Tulsa,0.235,Mercer,32.46,Ole Miss,127
Bethune-Cookman,1.17,Southeast,UNC Greensboro,10.47,Gardner-Webb,1.64,UMES,12.58,Norfolk St.,0.158,N.C. A&T,11.21,Presbyterian,0.321,East Carolina,0.237,Auburn,32.24,Tulsa,123
Ole Miss,1.14,Southeast,UMES,10.09,Hampton,1.62,Florida,12.5,Bethune-Cookman,0.156,UMES,11.09,Bethune-Cookman,0.3,Mercer,0.238,Howard,31.61,Bethune-Cookman,122
North Florida,1.14,Southeast,USC Upstate,10.03,The Citadel,1.61,Norfolk St.,12.42,UNC Greensboro,0.154,USC Upstate,10.96,Tulane,0.29,Temple,0.239,Norfolk St.,31.36,North Florida,122
Missouri,1.12,Southeast,UNC Asheville,9.45,Charleston So.,1.6,N.C. Central,12.33,USC Upstate,0.154,UNC Asheville,10.25,Norfolk St.,0.28,Morgan St.,0.24,Bethune-Cookman,30.96,Missouri,120
LSU,1.1,Southeast,Norfolk St.,9.37,Morgan St.,1.55,Georgia,12.32,N.C. Central,0.147,Hampton,10.22,N.C. Central,0.269,N.C. Central,0.243,N.C. Central,30.93,Morgan St.,119
USC Upstate,1.07,Southeast,Bethune-Cookman,9.12,Presbyterian,1.47,South Carolina,12.26,Radford,0.146,Norfolk St.,10.17,USC Upstate,0.207,Cincinnati,0.243,UMES,30.87,USC Upstate,109
Tulsa,1.05,Southeast,Hampton,9.04,Tulane,1.39,Mercer,12.26,UNC Asheville,0.143,Bethune-Cookman,10.02,Hampton,0.158,Ole Miss,0.244,Florida,30.66,UNC Asheville,107
Memphis,1.02,Southeast,N.C. Central,8.73,Tulsa,1.34,Hampton,11.6,Hampton,0.133,N.C. Central,9.52,UNC Asheville,0.154,Hampton,0.247,Delaware St.,29.98,Mississippi St.,99
South Carolina St.,1,Southeast,Morgan St.,8.37,N.C. Central,1.34,Morgan St.,11.48,Morgan St.,0.106,Morgan St.,9.22,Morgan St.,0.103,Tulane,0.256,Morgan St.,29.98,Hampton,85
Mississippi St.,0.92,Southeast,South Carolina St.,4.44,South Carolina St.,1.11,South Carolina St.,7.42,NA,NA,South Carolina St.,4.92,South Carolina St.,0,South Carolina St.,0.338,South Carolina St.,24.25,South Carolina St.,79
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
