Bib,Name,Country,Gender,Division,Division.Rank,Overall.Time,Overall.Rank,Swim.Time,Swim.Rank,Bike.Time,Bike.Rank,Run.Time,Run.Rank,Finish.Status,Location,Year
1497,Debra Weier,United States,Female,F60-64,2,854.7,1213,75.93333333,847,417.5333333,993,344.2833333,1543,Finisher,LakePlacid,2018
1362,Debra Weier,United States,Female,F65-69,2,844.9833333,1116,76.15,888,410.4,1103,342.3333333,1360,Finisher,LakePlacid,2019
907,Emily Jakob,United States,Female,F18-24,2,734.7333333,380,70.11666667,422,419.8666667,1036,234.55,144,Finisher,LakePlacid,2018
293,Emily Jakob,United States,Female,F18-24,4,726.4333333,345,71.15,530,382.0166667,636,263.5833333,326,Finisher,LakePlacid,2019
624,Erin Reep,United States,Female,F35-39,27,804.65,832,82.03333333,1315,430.2333333,1196,275.8666667,568,Finisher,LakePlacid,2018
502,Erin Reep,United States,Female,F35-39,33,841.5333333,1095,83.91666667,1472,430.5333333,1387,309.3333333,914,Finisher,LakePlacid,2019
1183,Gina Larson,United States,Female,F40-44,47,838.85,1101,78.75,1073,444.6833333,1411,290.2833333,768,Finisher,LakePlacid,2018
1153,Gina Larson,United States,Female,F45-49,58,924.1,1609,82.83333333,1394,450.5333333,1635,370.2666667,1666,Finisher,LakePlacid,2019
307,Gretchen Tuff,United States,Female,F35-39,8,718.5666667,311,71.3,496,388.95,561,245.4,233,Finisher,LakePlacid,2018
984,Gretchen Tuff,United States,Female,F35-39,2,679.7166667,165,69.01666667,384,354.4666667,252,248.2833333,202,Finisher,LakePlacid,2019
1156,Heather Frank,United States,Female,F40-44,73,887.4833333,1422,83.85,1437,437,1307,343.0166667,1532,Finisher,LakePlacid,2018
1130,Heather Frank,United States,Female,F45-49,77,977.3666667,1882,77.9,1013,492.7666667,2020,387.4666667,1854,Finisher,LakePlacid,2019
1399,Jacqui Moskowitz,United States,Female,F50-54,18,803.3333333,820,83.68333333,1425,420.85,1051,280.6166667,634,Finisher,LakePlacid,2018
524,Jacqui Moskowitz,United States,Female,F50-54,11,776.0333333,634,82.35,1365,400.85,931,277.3166667,474,Finisher,LakePlacid,2019
1171,Jami Holm,United States,Female,F40-44,55,850.3666667,1173,81.75,1297,406.6,839,340.55,1501,Finisher,LakePlacid,2018
1042,Jami Holm,United States,Female,F40-44,54,870.55,1289,88.58333333,1724,401.4333333,941,362.85,1582,Finisher,LakePlacid,2019
976,Jaquelin Hubbard,United States,Female,F30-34,6,698.9166667,213,69.71666667,408,372.8,337,244.85,230,Finisher,LakePlacid,2018
681,Jaquelin Hubbard,United States,Female,F35-39,10,763.8666667,545,74.23333333,752,377.1333333,552,300.0166667,779,Finisher,LakePlacid,2019
1338,Joanne Vanhorne,United States,Female,F45-49,81,957,1794,105.0166667,2164,461.6166667,1633,371.9666667,1831,Finisher,LakePlacid,2018
1201,Joanne Vanhorne,United States,Female,F45-49,78,977.8166667,1888,113.5833333,2298,469.5166667,1844,381.2666667,1784,Finisher,LakePlacid,2019
652,Karen Curtis,United States,Female,F50-54,46,894.9833333,1473,81.3,1268,446.3333333,1436,343.4,1535,Finisher,LakePlacid,2018
1228,Karen Curtis,United States,Female,F50-54,40,884.4833333,1383,82.5,1372,434.4333333,1429,348.1,1431,Finisher,LakePlacid,2019
