"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"967","Groth S.","Kokkinakis T.",82,147,"AUS",2006,100,193,"Right-Handed","AUS",2013,82,196,"Right-Handed","Yes",-65,"Medium Difference","Yes"
"968","Nadal R.","Smyczek T.",3,112,"ESP",2001,85,185,"Left-Handed","USA",2006,73,175,"Right-Handed","Yes",-109,"High Difference","No"
"969","Tomic B.","Kohlschreiber P.",66,24,"AUS",2008,91,196,"Right-Handed","GER",2001,70,178,"Right-Handed","No",42,"Medium Difference","Yes"
"970","Isner J.","Haider-Maurer A.",21,79,"USA",2007,108,208,"Right-Handed","AUT",2005,89,191,"Right-Handed","Yes",-58,"Medium Difference","Yes"
"971","Lopez F.","Mannarino A.",14,36,"ESP",1997,73,185,"Left-Handed","FRA",2004,70,180,"Left-Handed","Yes",-22,"Low Difference","Yes"
"972","Nieminen J.","Bachinger M.",72,142,"FIN",2000,78,185,"Left-Handed","GER",2005,86,188,"Right-Handed","Yes",-70,"Medium Difference","No"
"973","Nishikori K.","Dodig I.",5,86,"JPN",2007,75,178,"Right-Handed","CRO",2004,83,183,"Right-Handed","Yes",-81,"High Difference","Yes"
"974","Garcia-Lopez G.","Gonzalez A.",37,107,"ESP",2002,80,185,"Right-Handed","COL",2006,83,191,"Right-Handed","Yes",-70,"Medium Difference","Yes"
"975","Johnson S.","Giraldo S.",38,32,"USA",2012,86,188,"Right-Handed","COL",2004,75,188,"Right-Handed","No",6,"Low Difference","Yes"
"976","Pospisil V.","Lorenzi P.",60,64,"CAN",2007,84,193,"Right-Handed","ITA",2003,77,183,"Right-Handed","Yes",-4,"Low Difference","Yes"
"977","Wawrinka S.","Copil M.",4,194,"SUI",2002,81,183,"Right-Handed","ROU",2008,86,191,"Right-Handed","Yes",-190,"High Difference","Yes"
"978","Muller G.","Bautista R.",42,16,"LUX",2001,89,193,"Left-Handed","ESP",2005,76,183,"Right-Handed","No",26,"Low Difference","No"
"979","Djokovic N.","Kuznetsov An.",1,88,"SRB",2003,77,188,"Right-Handed","RUS",2008,70,183,"Right-Handed","Yes",-87,"High Difference","Yes"
"980","Simon G.","Granollers M.",20,58,"FRA",2002,70,183,"Right-Handed","ESP",2003,77,191,"Right-Handed","Yes",-38,"Medium Difference","Yes"
"981","Ferrer D.","Stakhovsky S.",10,71,"ESP",2000,73,175,"Right-Handed","UKR",2003,80,193,"Right-Handed","Yes",-61,"Medium Difference","Yes"
"982","Janowicz J.","Monfils G.",44,19,"POL",2007,94,203,"Right-Handed","FRA",2004,80,193,"Right-Handed","No",25,"Low Difference","Yes"
"983","Becker B.","Hewitt L.",41,87,"GER",2005,72,178,"Right-Handed","AUS",1998,77,178,"Right-Handed","Yes",-46,"Medium Difference","Yes"
"984","Verdasco F.","Soeda G.",33,92,"ESP",2001,87,185,"Left-Handed","JPN",2003,73,178,"Right-Handed","Yes",-59,"Medium Difference","No"
"985","Raonic M.","Young D.",8,56,"CAN",2008,98,196,"Right-Handed","USA",2004,79,183,"Left-Handed","Yes",-48,"Medium Difference","No"
"986","Dimitrov G.","Baghdatis M.",11,78,"BUL",2008,80,191,"Right-Handed","CYP",2003,82,178,"Right-Handed","Yes",-67,"Medium Difference","Yes"
"987","Berdych T.","Troicki V.",7,54,"CZE",2002,91,196,"Right-Handed","SRB",2006,86,193,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"988","Seppi A.","Federer R.",46,2,"ITA",2002,75,191,"Right-Handed","SUI",1998,85,185,"Right-Handed","No",44,"Medium Difference","Yes"
"989","Murray A.","Sousa J.",6,55,"GBR",2005,84,191,"Right-Handed","POR",2008,74,185,"Right-Handed","Yes",-49,"Medium Difference","Yes"
"990","Tomic B.","Groth S.",66,82,"AUS",2008,91,196,"Right-Handed","AUS",2006,100,193,"Right-Handed","Yes",-16,"Low Difference","Yes"
"991","Anderson K.","Gasquet R.",15,28,"RSA",2007,93,203,"Right-Handed","FRA",2002,75,185,"Right-Handed","Yes",-13,"Low Difference","Yes"
"992","Kyrgios N.","Jaziri M.",53,75,"AUS",2013,85,193,"Right-Handed","TUN",2003,82,185,"Right-Handed","Yes",-22,"Low Difference","Yes"
"993","Nadal R.","Sela D.",3,106,"ESP",2001,85,185,"Left-Handed","ISR",2002,65,175,"Right-Handed","Yes",-103,"High Difference","No"
"994","Raonic M.","Becker B.",8,41,"CAN",2008,98,196,"Right-Handed","GER",2005,72,178,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"995","Lopez F.","Janowicz J.",14,44,"ESP",1997,73,185,"Left-Handed","POL",2007,94,203,"Right-Handed","Yes",-30,"Low Difference","No"
"996","Wawrinka S.","Nieminen J.",4,72,"SUI",2002,81,183,"Right-Handed","FIN",2000,78,185,"Left-Handed","Yes",-68,"Medium Difference","No"
"997","Garcia-Lopez G.","Pospisil V.",37,60,"ESP",2002,80,185,"Right-Handed","CAN",2007,84,193,"Right-Handed","Yes",-23,"Low Difference","Yes"
"998","Nishikori K.","Johnson S.",5,38,"JPN",2007,75,178,"Right-Handed","USA",2012,86,188,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"999","Muller G.","Isner J.",42,21,"LUX",2001,89,193,"Left-Handed","USA",2007,108,208,"Right-Handed","No",21,"Low Difference","No"
"1000","Djokovic N.","Verdasco F.",1,33,"SRB",2003,77,188,"Right-Handed","ESP",2001,87,185,"Left-Handed","Yes",-32,"Medium Difference","No"
"1001","Ferrer D.","Simon G.",10,20,"ESP",2000,73,175,"Right-Handed","FRA",2002,70,183,"Right-Handed","Yes",-10,"Low Difference","Yes"
"1002","Berdych T.","Tomic B.",7,66,"CZE",2002,91,196,"Right-Handed","AUS",2008,91,196,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"1003","Nadal R.","Anderson K.",3,15,"ESP",2001,85,185,"Left-Handed","RSA",2007,93,203,"Right-Handed","Yes",-12,"Low Difference","No"
"1004","Kyrgios N.","Seppi A.",53,46,"AUS",2013,85,193,"Right-Handed","ITA",2002,75,191,"Right-Handed","No",7,"Low Difference","Yes"
"1005","Murray A.","Dimitrov G.",6,11,"GBR",2005,84,191,"Right-Handed","BUL",2008,80,191,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1006","Wawrinka S.","Garcia-Lopez G.",4,37,"SUI",2002,81,183,"Right-Handed","ESP",2002,80,185,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"1007","Nishikori K.","Ferrer D.",5,10,"JPN",2007,75,178,"Right-Handed","ESP",2000,73,175,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1008","Raonic M.","Lopez F.",8,14,"CAN",2008,98,196,"Right-Handed","ESP",1997,73,185,"Left-Handed","Yes",-6,"Low Difference","No"
"1009","Djokovic N.","Muller G.",1,42,"SRB",2003,77,188,"Right-Handed","LUX",2001,89,193,"Left-Handed","Yes",-41,"Medium Difference","No"
"1010","Berdych T.","Nadal R.",7,3,"CZE",2002,91,196,"Right-Handed","ESP",2001,85,185,"Left-Handed","No",4,"Low Difference","No"
"1011","Murray A.","Kyrgios N.",6,53,"GBR",2005,84,191,"Right-Handed","AUS",2013,85,193,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"1012","Wawrinka S.","Nishikori K.",4,5,"SUI",2002,81,183,"Right-Handed","JPN",2007,75,178,"Right-Handed","Yes",-1,"Low Difference","Yes"
"1013","Djokovic N.","Raonic M.",1,8,"SRB",2003,77,188,"Right-Handed","CAN",2008,98,196,"Right-Handed","Yes",-7,"Low Difference","Yes"
"1014","Murray A.","Berdych T.",6,7,"GBR",2005,84,191,"Right-Handed","CZE",2002,91,196,"Right-Handed","Yes",-1,"Low Difference","Yes"
"1015","Djokovic N.","Wawrinka S.",1,4,"SRB",2003,77,188,"Right-Handed","SUI",2002,81,183,"Right-Handed","Yes",-3,"Low Difference","Yes"
"1016","Djokovic N.","Murray A.",1,6,"SRB",2003,77,188,"Right-Handed","GBR",2005,84,191,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1017","Dodig I.","Karlovic I.",34,75,"CRO",2004,83,183,"Right-Handed","CRO",2000,104,211,"Right-Handed","Yes",-41,"Medium Difference","Yes"
"1018","Nieminen J.","Sela D.",39,68,"FIN",2000,78,185,"Left-Handed","ISR",2002,65,175,"Right-Handed","Yes",-29,"Low Difference","No"
"1019","Youzhny M.","Struff J.L.",15,105,"RUS",1999,73,183,"Right-Handed","GER",2009,87,196,"Right-Handed","Yes",-90,"High Difference","Yes"
"1020","Falla A.","Kukushkin M.",87,66,"COL",2000,77,185,"Left-Handed","KAZ",2006,72,183,"Right-Handed","No",21,"Low Difference","No"
"1021","Querrey S.","Giraldo S.",51,69,"USA",2006,95,198,"Right-Handed","COL",2004,75,188,"Right-Handed","Yes",-18,"Low Difference","Yes"
"1022","Mannarino A.","Johnson S.",71,147,"FRA",2004,70,180,"Left-Handed","USA",2012,86,188,"Right-Handed","Yes",-76,"High Difference","No"
"1023","Wawrinka S.","Golubev A.",8,85,"SUI",2002,81,183,"Right-Handed","KAZ",2005,79,183,"Right-Handed","Yes",-77,"High Difference","Yes"
"1024","Dzumhur D.","Hajek J.",188,103,"BIH",2011,70,175,"Right-Handed","CZE",2000,80,180,"Right-Handed","No",85,"High Difference","Yes"
"1025","Thiem D.","Sousa J.",136,50,"AUT",2011,82,185,"Right-Handed","POR",2008,74,185,"Right-Handed","No",86,"High Difference","Yes"
"1026","Mayer F.","Kudla D.",37,113,"GER",2001,82,191,"Right-Handed","USA",2010,75,180,"Right-Handed","Yes",-76,"High Difference","Yes"
"1027","Ferrer D.","Gonzalez A.",3,74,"ESP",2000,73,175,"Right-Handed","COL",2006,83,191,"Right-Handed","Yes",-71,"Medium Difference","Yes"
"1028","Anderson K.","Vesely J.",21,83,"RSA",2007,93,203,"Right-Handed","CZE",2009,92,198,"Left-Handed","Yes",-62,"Medium Difference","No"
"1029","Gulbis E.","Monaco J.",24,42,"LAT",2004,88,193,"Right-Handed","ARG",2002,81,185,"Right-Handed","Yes",-18,"Low Difference","Yes"
"1030","De Schepper K.","Wu D.",86,203,"FRA",2010,104,203,"Left-Handed","CHN",2009,65,175,"Right-Handed","Yes",-117,"High Difference","No"
"1031","Gasquet R.","Guez D.",9,176,"FRA",2002,75,185,"Right-Handed","FRA",1997,75,185,"Right-Handed","Yes",-167,"High Difference","Yes"
"1032","Berdych T.","Nedovyesov A.",7,94,"CZE",2002,91,196,"Right-Handed","KAZ",2005,81,193,"Right-Handed","Yes",-87,"High Difference","Yes"
"1033","Ebden M.","Mahut N.",67,46,"AUS",2006,80,188,"Right-Handed","FRA",2000,80,191,"Right-Handed","No",21,"Low Difference","Yes"
"1034","Chardy J.","Huta Galung J.",31,100,"FRA",2005,75,188,"Right-Handed","NED",2004,89,195,"Right-Handed","Yes",-69,"Medium Difference","Yes"
"1035","Fognini F.","Bogomolov A.",16,89,"ITA",2004,74,178,"Right-Handed","RUS",2002,75,178,"Right-Handed","Yes",-73,"Medium Difference","Yes"
"1036","Mayer L.","Montanes A.",98,60,"ARG",2003,80,191,"Right-Handed","ESP",1999,70,175,"Right-Handed","No",38,"Medium Difference","Yes"
"1037","Benneteau J.","Carreno-Busta P.",38,63,"FRA",2000,79,185,"Right-Handed","ESP",2009,78,188,"Right-Handed","Yes",-25,"Low Difference","Yes"
"1038","Robredo T.","Rosol L.",18,47,"ESP",1998,75,180,"Right-Handed","CZE",2004,84,196,"Right-Handed","Yes",-29,"Low Difference","Yes"
"1039","Roger-Vasselin E.","Berlocq C.",40,41,"FRA",2002,75,188,"Right-Handed","ARG",2001,81,183,"Right-Handed","Yes",-1,"Low Difference","Yes"
"1040","Garcia-Lopez G.","Haas T.",58,12,"ESP",2002,80,185,"Right-Handed","GER",1996,84,188,"Right-Handed","No",46,"Medium Difference","Yes"
"1041","Janowicz J.","Thompson J.",20,319,"POL",2007,94,203,"Right-Handed","AUS",2013,73,183,"Right-Handed","Yes",-299,"High Difference","Yes"
"1042","Pospisil V.","Groth S.",30,157,"CAN",2007,84,193,"Right-Handed","AUS",2006,100,193,"Right-Handed","Yes",-127,"High Difference","Yes"
"1043","Andujar P.","Ramos A.",48,84,"ESP",2003,76,180,"Right-Handed","ESP",2007,80,188,"Left-Handed","Yes",-36,"Medium Difference","No"
"1044","Davydenko N.","Kubot L.",61,72,"RUS",1999,70,178,"Right-Handed","POL",2002,86,191,"Right-Handed","Yes",-11,"Low Difference","Yes"
"1045","Dolgopolov O.","Berankis R.",56,128,"UKR",2006,71,180,"Right-Handed","LTU",2007,70,175,"Right-Handed","Yes",-72,"Medium Difference","Yes"
"1046","Tursunov D.","Russell M.",26,92,"RUS",2000,82,185,"Right-Handed","USA",1998,70,173,"Right-Handed","Yes",-66,"Medium Difference","Yes"
"1047","Djokovic N.","Lacko L.",2,96,"SRB",2003,77,188,"Right-Handed","SVK",2005,85,185,"Right-Handed","Yes",-94,"High Difference","Yes"
"1048","Istomin D.","Baghdatis M.",49,108,"UZB",2004,88,188,"Right-Handed","CYP",2003,82,178,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"1049","Lajovic D.","Pouille L.",117,193,"SRB",2007,78,183,"Right-Handed","FRA",2012,81,185,"Right-Handed","Yes",-76,"High Difference","Yes"
"1050","Dimitrov G.","Klahn B.",22,93,"BUL",2008,80,191,"Right-Handed","USA",2012,75,183,"Left-Handed","Yes",-71,"Medium Difference","No"
"1051","Nishikori K.","Matosevic M.",17,54,"JPN",2007,75,178,"Right-Handed","AUS",2003,86,193,"Right-Handed","Yes",-37,"Medium Difference","Yes"
"1052","Przysiezny M.","Zeballos H.",64,65,"POL",2001,84,185,"Right-Handed","ARG",2003,83,188,"Left-Handed","Yes",-1,"Low Difference","No"
"1053","Raonic M.","Gimeno-Traver D.",11,77,"CAN",2008,98,196,"Right-Handed","ESP",2004,80,183,"Right-Handed","Yes",-66,"Medium Difference","Yes"
"1054","Lu Y.H.","Wang J.",53,173,"TPE",2001,74,180,"Right-Handed","TPE",2001,73,180,"Right-Handed","Yes",-120,"High Difference","Yes"
"1055","Hanescu V.","Gojowczyk P.",76,135,"ROU",2000,88,198,"Right-Handed","GER",2006,83,188,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"1056","Robert S.","Bedene A.",119,104,"FRA",2001,77,185,"Right-Handed","GBR",2008,72,183,"Right-Handed","No",15,"Low Difference","Yes"
"1057","Klizan M.","Isner J.",106,13,"SVK",2007,80,191,"Left-Handed","USA",2007,108,208,"Right-Handed","No",93,"High Difference","No"
"1058","Tsonga J.W.","Volandri F.",10,70,"FRA",2004,91,188,"Right-Handed","ITA",1997,73,183,"Right-Handed","Yes",-60,"Medium Difference","Yes"
"1059","Rola B.","Delbonis F.",185,55,"SLO",2013,85,193,"Left-Handed","ARG",2007,88,191,"Left-Handed","No",130,"High Difference","Yes"
"1060","Federer R.","Duckworth J.",6,133,"SUI",1998,85,185,"Right-Handed","AUS",2010,82,183,"Right-Handed","Yes",-127,"High Difference","Yes"
"1061","Gabashvili T.","Stakhovsky S.",79,82,"RUS",2001,83,188,"Right-Handed","UKR",2003,80,193,"Right-Handed","Yes",-3,"Low Difference","Yes"
"1062","Kavcic B.","Stepanek R.",99,44,"SLO",2005,78,188,"Right-Handed","CZE",1996,76,185,"Right-Handed","No",55,"Medium Difference","Yes"
"1063","Bellucci T.","Reister J.",129,88,"BRA",2005,82,188,"Left-Handed","GER",2005,87,188,"Right-Handed","No",41,"Medium Difference","No"
"1064","Paire B.","Dancevic F.",28,122,"FRA",2007,80,196,"Right-Handed","CAN",2003,79,185,"Right-Handed","Yes",-94,"High Difference","Yes"
"1065","Kyrgios N.","Becker B.",183,81,"AUS",2013,85,193,"Right-Handed","GER",2005,72,178,"Right-Handed","No",102,"High Difference","Yes"
"1066","Verdasco F.","Zhang Z.",33,253,"ESP",2001,87,185,"Left-Handed","CHN",2005,83,188,"Right-Handed","Yes",-220,"High Difference","No"
"1067","Seppi A.","Hewitt L.",25,43,"ITA",2002,75,191,"Right-Handed","AUS",1998,77,178,"Right-Handed","Yes",-18,"Low Difference","Yes"
"1068","Berrer M.","Llodra M.",144,102,"GER",1999,100,193,"Left-Handed","FRA",1999,80,191,"Left-Handed","No",42,"Medium Difference","Yes"
"1069","Bautista R.","Smyczek T.",62,90,"ESP",2005,76,183,"Right-Handed","USA",2006,73,175,"Right-Handed","Yes",-28,"Low Difference","Yes"
"1070","Del Potro J.M.","Williams R.",5,130,"ARG",2005,97,198,"Right-Handed","USA",2011,84,185,"Right-Handed","Yes",-125,"High Difference","Yes"
"1071","Millot V.","Odesnik W.",267,139,"FRA",2007,75,173,"Left-Handed","USA",2004,77,180,"Left-Handed","No",128,"High Difference","Yes"
"1072","Lopez F.","Devvarman S.",27,97,"ESP",1997,73,185,"Left-Handed","IND",2008,73,180,"Right-Handed","Yes",-70,"Medium Difference","No"
"1073","Young D.","Haase R.",91,45,"USA",2004,79,183,"Left-Handed","NED",2005,71,191,"Right-Handed","No",46,"Medium Difference","No"
"1074","Simon G.","Brands D.",19,59,"FRA",2002,70,183,"Right-Handed","GER",2005,92,196,"Right-Handed","Yes",-40,"Medium Difference","Yes"
"1075","Sock J.","Kamke T.",95,78,"USA",2011,84,191,"Right-Handed","GER",2004,76,178,"Right-Handed","No",17,"Low Difference","Yes"
"1076","Murray A.","Soeda G.",4,112,"GBR",2005,84,191,"Right-Handed","JPN",2003,73,178,"Right-Handed","Yes",-108,"High Difference","Yes"
"1077","Kokkinakis T.","Sijsling I.",570,73,"AUS",2013,82,196,"Right-Handed","NED",2006,85,191,"Right-Handed","No",497,"High Difference","Yes"
"1078","Cilic M.","Granollers M.",36,222,"CRO",2005,89,198,"Right-Handed","ESP",2003,77,191,"Right-Handed","Yes",-186,"High Difference","Yes"
"1079","Monfils G.","Harrison R.",32,110,"FRA",2004,80,193,"Right-Handed","USA",2007,84,185,"Right-Handed","Yes",-78,"High Difference","Yes"
"1080","Nadal R.","Tomic B.",1,57,"ESP",2001,85,185,"Left-Handed","AUS",2008,91,196,"Right-Handed","Yes",-56,"Medium Difference","No"
"1081","Berdych T.","De Schepper K.",7,86,"CZE",2002,91,196,"Right-Handed","FRA",2010,104,203,"Left-Handed","Yes",-79,"High Difference","No"
"1082","Dzumhur D.","Dodig I.",188,34,"BIH",2011,70,175,"Right-Handed","CRO",2004,83,183,"Right-Handed","No",154,"High Difference","Yes"
"1083","Mayer F.","Youzhny M.",37,15,"GER",2001,82,191,"Right-Handed","RUS",1999,73,183,"Right-Handed","No",22,"Low Difference","Yes"
"1084","Gasquet R.","Davydenko N.",9,61,"FRA",2002,75,185,"Right-Handed","RUS",1999,70,178,"Right-Handed","Yes",-52,"Medium Difference","Yes"
"1085","Janowicz J.","Andujar P.",20,48,"POL",2007,94,203,"Right-Handed","ESP",2003,76,180,"Right-Handed","Yes",-28,"Low Difference","Yes"
"1086","Ferrer D.","Mannarino A.",3,71,"ESP",2000,73,175,"Right-Handed","FRA",2004,70,180,"Left-Handed","Yes",-68,"Medium Difference","No"
"1087","Chardy J.","Dolgopolov O.",31,56,"FRA",2005,75,188,"Right-Handed","UKR",2006,71,180,"Right-Handed","Yes",-25,"Low Difference","Yes"
"1088","Robredo T.","Benneteau J.",18,38,"ESP",1998,75,180,"Right-Handed","FRA",2000,79,185,"Right-Handed","Yes",-20,"Low Difference","Yes"
"1089","Djokovic N.","Mayer L.",2,98,"SRB",2003,77,188,"Right-Handed","ARG",2003,80,191,"Right-Handed","Yes",-96,"High Difference","Yes"
"1090","Istomin D.","Tursunov D.",49,26,"UZB",2004,88,188,"Right-Handed","RUS",2000,82,185,"Right-Handed","No",23,"Low Difference","Yes"
"1091","Roger-Vasselin E.","Garcia-Lopez G.",40,58,"FRA",2002,75,188,"Right-Handed","ESP",2002,80,185,"Right-Handed","Yes",-18,"Low Difference","Yes"
"1092","Querrey S.","Gulbis E.",51,24,"USA",2006,95,198,"Right-Handed","LAT",2004,88,193,"Right-Handed","No",27,"Low Difference","Yes"
"1093","Anderson K.","Thiem D.",21,136,"RSA",2007,93,203,"Right-Handed","AUT",2011,82,185,"Right-Handed","Yes",-115,"High Difference","Yes"
"1094","Fognini F.","Nieminen J.",16,39,"ITA",2004,74,178,"Right-Handed","FIN",2000,78,185,"Left-Handed","Yes",-23,"Low Difference","No"
"1095","Wawrinka S.","Falla A.",8,87,"SUI",2002,81,183,"Right-Handed","COL",2000,77,185,"Left-Handed","Yes",-79,"High Difference","No"
"1096","Pospisil V.","Ebden M.",30,67,"CAN",2007,84,193,"Right-Handed","AUS",2006,80,188,"Right-Handed","Yes",-37,"Medium Difference","Yes"
"1097","Nishikori K.","Lajovic D.",17,117,"JPN",2007,75,178,"Right-Handed","SRB",2007,78,183,"Right-Handed","Yes",-100,"High Difference","Yes"
"1098","Young D.","Seppi A.",91,25,"USA",2004,79,183,"Left-Handed","ITA",2002,75,191,"Right-Handed","No",66,"Medium Difference","No"
"1099","Klizan M.","Rola B.",106,185,"SVK",2007,80,191,"Left-Handed","SLO",2013,85,193,"Left-Handed","Yes",-79,"High Difference","Yes"
"1100","Tsonga J.W.","Bellucci T.",10,129,"FRA",2004,91,188,"Right-Handed","BRA",2005,82,188,"Left-Handed","Yes",-119,"High Difference","No"
"1101","Robert S.","Przysiezny M.",119,64,"FRA",2001,77,185,"Right-Handed","POL",2001,84,185,"Right-Handed","No",55,"Medium Difference","Yes"
"1102","Federer R.","Kavcic B.",6,99,"SUI",1998,85,185,"Right-Handed","SLO",2005,78,188,"Right-Handed","Yes",-93,"High Difference","Yes"
"1103","Nadal R.","Kokkinakis T.",1,570,"ESP",2001,85,185,"Left-Handed","AUS",2013,82,196,"Right-Handed","Yes",-569,"High Difference","No"
"1104","Dimitrov G.","Lu Y.H.",22,53,"BUL",2008,80,191,"Right-Handed","TPE",2001,74,180,"Right-Handed","Yes",-31,"Medium Difference","Yes"
"1105","Simon G.","Cilic M.",19,36,"FRA",2002,70,183,"Right-Handed","CRO",2005,89,198,"Right-Handed","Yes",-17,"Low Difference","Yes"
"1106","Raonic M.","Hanescu V.",11,76,"CAN",2008,98,196,"Right-Handed","ROU",2000,88,198,"Right-Handed","Yes",-65,"Medium Difference","Yes"
"1107","Lopez F.","Berrer M.",27,144,"ESP",1997,73,185,"Left-Handed","GER",1999,100,193,"Left-Handed","Yes",-117,"High Difference","Yes"
"1108","Gabashvili T.","Verdasco F.",79,33,"RUS",2001,83,188,"Right-Handed","ESP",2001,87,185,"Left-Handed","No",46,"Medium Difference","No"
"1109","Monfils G.","Sock J.",32,95,"FRA",2004,80,193,"Right-Handed","USA",2011,84,191,"Right-Handed","Yes",-63,"Medium Difference","Yes"
"1110","Bautista R.","Del Potro J.M.",62,5,"ESP",2005,76,183,"Right-Handed","ARG",2005,97,198,"Right-Handed","No",57,"Medium Difference","Yes"
"1111","Murray A.","Millot V.",4,267,"GBR",2005,84,191,"Right-Handed","FRA",2007,75,173,"Left-Handed","Yes",-263,"High Difference","No"
"1112","Paire B.","Kyrgios N.",28,183,"FRA",2007,80,196,"Right-Handed","AUS",2013,85,193,"Right-Handed","Yes",-155,"High Difference","Yes"
"1113","Wawrinka S.","Pospisil V.",8,30,"SUI",2002,81,183,"Right-Handed","CAN",2007,84,193,"Right-Handed","Yes",-22,"Low Difference","Yes"
"1114","Mayer F.","Janowicz J.",37,20,"GER",2001,82,191,"Right-Handed","POL",2007,94,203,"Right-Handed","No",17,"Low Difference","Yes"
"1115","Ferrer D.","Chardy J.",3,31,"ESP",2000,73,175,"Right-Handed","FRA",2005,75,188,"Right-Handed","Yes",-28,"Low Difference","Yes"
"1116","Anderson K.","Roger-Vasselin E.",21,40,"RSA",2007,93,203,"Right-Handed","FRA",2002,75,188,"Right-Handed","Yes",-19,"Low Difference","Yes"
"1117","Berdych T.","Dzumhur D.",7,188,"CZE",2002,91,196,"Right-Handed","BIH",2011,70,175,"Right-Handed","Yes",-181,"High Difference","Yes"
"1118","Robredo T.","Gasquet R.",18,9,"ESP",1998,75,180,"Right-Handed","FRA",2002,75,185,"Right-Handed","No",9,"Low Difference","Yes"
"1119","Fognini F.","Querrey S.",16,51,"ITA",2004,74,178,"Right-Handed","USA",2006,95,198,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"1120","Djokovic N.","Istomin D.",2,49,"SRB",2003,77,188,"Right-Handed","UZB",2004,88,188,"Right-Handed","Yes",-47,"Medium Difference","Yes"
"1121","Robert S.","Klizan M.",119,106,"FRA",2001,77,185,"Right-Handed","SVK",2007,80,191,"Left-Handed","No",13,"Low Difference","No"
"1122","Federer R.","Gabashvili T.",6,79,"SUI",1998,85,185,"Right-Handed","RUS",2001,83,188,"Right-Handed","Yes",-73,"Medium Difference","Yes"
"1123","Dimitrov G.","Raonic M.",22,11,"BUL",2008,80,191,"Right-Handed","CAN",2008,98,196,"Right-Handed","No",11,"Low Difference","Yes"
"1124","Bautista R.","Paire B.",62,28,"ESP",2005,76,183,"Right-Handed","FRA",2007,80,196,"Right-Handed","No",34,"Medium Difference","Yes"
"1125","Murray A.","Lopez F.",4,27,"GBR",2005,84,191,"Right-Handed","ESP",1997,73,185,"Left-Handed","Yes",-23,"Low Difference","No"
"1126","Tsonga J.W.","Simon G.",10,19,"FRA",2004,91,188,"Right-Handed","FRA",2002,70,183,"Right-Handed","Yes",-9,"Low Difference","Yes"
"1127","Nishikori K.","Young D.",17,91,"JPN",2007,75,178,"Right-Handed","USA",2004,79,183,"Left-Handed","Yes",-74,"Medium Difference","No"
"1128","Nadal R.","Monfils G.",1,32,"ESP",2001,85,185,"Left-Handed","FRA",2004,80,193,"Right-Handed","Yes",-31,"Medium Difference","No"
"1129","Ferrer D.","Mayer F.",3,37,"ESP",2000,73,175,"Right-Handed","GER",2001,82,191,"Right-Handed","Yes",-34,"Medium Difference","Yes"
"1130","Djokovic N.","Fognini F.",2,16,"SRB",2003,77,188,"Right-Handed","ITA",2004,74,178,"Right-Handed","Yes",-14,"Low Difference","Yes"
"1131","Berdych T.","Anderson K.",7,21,"CZE",2002,91,196,"Right-Handed","RSA",2007,93,203,"Right-Handed","Yes",-14,"Low Difference","Yes"
"1132","Wawrinka S.","Robredo T.",8,18,"SUI",2002,81,183,"Right-Handed","ESP",1998,75,180,"Right-Handed","Yes",-10,"Low Difference","Yes"
"1133","Dimitrov G.","Bautista R.",22,62,"BUL",2008,80,191,"Right-Handed","ESP",2005,76,183,"Right-Handed","Yes",-40,"Medium Difference","Yes"
"1134","Nadal R.","Nishikori K.",1,17,"ESP",2001,85,185,"Left-Handed","JPN",2007,75,178,"Right-Handed","Yes",-16,"Low Difference","No"
"1135","Murray A.","Robert S.",4,119,"GBR",2005,84,191,"Right-Handed","FRA",2001,77,185,"Right-Handed","Yes",-115,"High Difference","Yes"
"1136","Federer R.","Tsonga J.W.",6,10,"SUI",1998,85,185,"Right-Handed","FRA",2004,91,188,"Right-Handed","Yes",-4,"Low Difference","Yes"
"1137","Berdych T.","Ferrer D.",7,3,"CZE",2002,91,196,"Right-Handed","ESP",2000,73,175,"Right-Handed","No",4,"Low Difference","Yes"
"1138","Wawrinka S.","Djokovic N.",8,2,"SUI",2002,81,183,"Right-Handed","SRB",2003,77,188,"Right-Handed","No",6,"Low Difference","Yes"
"1139","Nadal R.","Dimitrov G.",1,22,"ESP",2001,85,185,"Left-Handed","BUL",2008,80,191,"Right-Handed","Yes",-21,"Low Difference","No"
"1140","Federer R.","Murray A.",6,4,"SUI",1998,85,185,"Right-Handed","GBR",2005,84,191,"Right-Handed","No",2,"Low Difference","Yes"
