"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1398","Haase R.","Berlocq C.",62,67,"NED",2005,71,191,"Right-Handed","ARG",2001,81,183,"Right-Handed","Yes",-5,"Low Difference","Yes"
"1399","Monfils G.","De Bakker T.",12,47,"FRA",2004,80,193,"Right-Handed","NED",2005,83,193,"Right-Handed","Yes",-35,"Medium Difference","Yes"
"1400","Nishikori K.","Fognini F.",82,58,"JPN",2007,75,178,"Right-Handed","ITA",2004,74,178,"Right-Handed","No",24,"Low Difference","Yes"
"1401","Kunitsyn I.","Przysiezny M.",99,84,"RUS",1999,75,180,"Right-Handed","POL",2001,84,185,"Right-Handed","No",15,"Low Difference","Yes"
"1402","Gil F.","Cuevas P.",91,64,"POR",2003,78,173,"Right-Handed","URU",2004,80,180,"Right-Handed","No",27,"Low Difference","Yes"
"1403","Monaco J.","Greul S.",28,131,"ARG",2002,81,185,"Right-Handed","GER",2000,80,185,"Right-Handed","Yes",-103,"High Difference","Yes"
"1404","Kubot L.","Querrey S.",72,18,"POL",2002,86,191,"Right-Handed","USA",2006,95,198,"Right-Handed","No",54,"Medium Difference","Yes"
"1405","Stakhovsky S.","Brands D.",43,102,"UKR",2003,80,193,"Right-Handed","GER",2005,92,196,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"1406","Fish M.","Hanescu V.",17,50,"USA",2000,82,188,"Right-Handed","ROU",2000,88,198,"Right-Handed","Yes",-33,"Medium Difference","Yes"
"1407","Mayer F.","Davydenko N.",36,25,"GER",2001,82,191,"Right-Handed","RUS",1999,70,178,"Right-Handed","No",11,"Low Difference","Yes"
"1408","Mannarino A.","Harrison R.",74,172,"FRA",2004,70,180,"Left-Handed","USA",2007,84,185,"Right-Handed","Yes",-98,"High Difference","No"
"1409","Malisse X.","Andujar P.",45,70,"BEL",1998,83,185,"Right-Handed","ESP",2003,76,180,"Right-Handed","Yes",-25,"Low Difference","Yes"
"1410","Kohlschreiber P.","Kamke T.",35,65,"GER",2001,70,178,"Right-Handed","GER",2004,76,178,"Right-Handed","Yes",-30,"Low Difference","Yes"
"1411","Federer R.","Lacko L.",2,97,"SUI",1998,85,185,"Right-Handed","SVK",2005,85,185,"Right-Handed","Yes",-95,"High Difference","Yes"
"1412","Montanes A.","Brown D.",26,89,"ESP",1999,70,175,"Right-Handed","GER",2002,78,196,"Right-Handed","Yes",-63,"Medium Difference","Yes"
"1413","Roddick A.","Hajek J.",8,96,"USA",2000,88,188,"Right-Handed","CZE",2000,80,180,"Right-Handed","Yes",-88,"High Difference","Yes"
"1414","Andreev I.","Volandri F.",75,88,"RUS",2002,80,185,"Right-Handed","ITA",1997,73,183,"Right-Handed","Yes",-13,"Low Difference","Yes"
"1415","Mahut N.","Dabul B.",132,109,"FRA",2000,80,191,"Right-Handed","ARG",2001,70,170,"Left-Handed","No",23,"Low Difference","No"
"1416","Dimitrov G.","Golubev A.",105,38,"BUL",2008,80,191,"Right-Handed","KAZ",2005,79,183,"Right-Handed","No",67,"Medium Difference","Yes"
"1417","Troicki V.","Tursunov D.",27,197,"SRB",2006,86,193,"Right-Handed","RUS",2000,82,185,"Right-Handed","Yes",-170,"High Difference","Yes"
"1418","Wawrinka S.","Gabashvili T.",19,78,"SUI",2002,81,183,"Right-Handed","RUS",2001,83,188,"Right-Handed","Yes",-59,"Medium Difference","Yes"
"1419","Robredo T.","Devvarman S.",52,108,"ESP",1998,75,180,"Right-Handed","IND",2008,73,180,"Right-Handed","Yes",-56,"Medium Difference","Yes"
"1420","Berdych T.","Crugnola M.",6,237,"CZE",2002,91,196,"Right-Handed",NA,NA,NA,NA,NA,"Yes",-231,"High Difference",NA
"1421","Almagro N.","Robert S.",14,124,"ESP",2003,86,183,"Right-Handed","FRA",2001,77,185,"Right-Handed","Yes",-110,"High Difference","Yes"
"1422","Gasquet R.","Dancevic F.",33,267,"FRA",2002,75,185,"Right-Handed","CAN",2003,79,185,"Right-Handed","Yes",-234,"High Difference","Yes"
"1423","Simon G.","Lu Y.H.",34,37,"FRA",2002,70,183,"Right-Handed","TPE",2001,74,180,"Right-Handed","Yes",-3,"Low Difference","Yes"
"1424","Paire B.","Cipolla F.",145,248,"FRA",2007,80,196,"Right-Handed","ITA",2003,74,173,"Right-Handed","Yes",-103,"High Difference","Yes"
"1425","Tipsarevic J.","Zverev M.",49,80,"SRB",2002,80,180,"Right-Handed","GER",2005,88,191,"Left-Handed","Yes",-31,"Medium Difference","No"
"1426","Ljubicic I.","Luczak P.",16,148,"CRO",1998,92,193,"Right-Handed","AUS",2000,77,183,"Right-Handed","Yes",-132,"High Difference","Yes"
"1427","Verdasco F.","Schuettler R.",9,83,"ESP",2001,87,185,"Left-Handed","GER",1995,75,180,"Right-Handed","Yes",-74,"Medium Difference","No"
"1428","Dodig I.","Karlovic I.",81,73,"CRO",2004,83,183,"Right-Handed","CRO",2000,104,211,"Right-Handed","No",8,"Low Difference","Yes"
"1429","Djokovic N.","Granollers M.",3,42,"SRB",2003,77,188,"Right-Handed","ESP",2003,77,191,"Right-Handed","Yes",-39,"Medium Difference","Yes"
"1430","Russell M.","Ebden M.",100,185,"USA",1998,70,173,"Right-Handed","AUS",2006,80,188,"Right-Handed","Yes",-85,"High Difference","Yes"
"1431","Schwank E.","Mayer L.",86,36,"ARG",2005,83,183,"Right-Handed","ARG",2003,80,191,"Right-Handed","No",50,"Medium Difference","Yes"
"1432","Tomic B.","Chardy J.",199,44,"AUS",2008,91,196,"Right-Handed","FRA",2005,75,188,"Right-Handed","No",155,"High Difference","Yes"
"1433","Youzhny M.","Ilhan M.",10,87,"RUS",1999,73,183,"Right-Handed","TUR",2006,80,191,"Right-Handed","Yes",-77,"High Difference","Yes"
"1434","Garcia-Lopez G.","Berrer M.",32,61,"ESP",2002,80,185,"Right-Handed","GER",1999,100,193,"Left-Handed","Yes",-29,"Low Difference","No"
