W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
4,3,Fujiseiun,Fujishima,Kumamoto,05.12.1997,2021.03,Meiji University,178 cm 118 kg,Ms2,J13,67-32/99,Ms5w,5,2,J13e,9,6,Ms2,Chiyosakae,Kokonoe,Kyoto,12.07.1990,2009.01,NA,180 cm 159 kg,J10,J10,329-289-10/615,J11e,5,10,5,2,J12w,8,7
4,3,Tokihayate,Tokitsukaze,Miyagi,25.08.1996,2019.03,Tokyo University of Agriculture,178 cm 118 kg,Ms3,J14,106-67-3/172,Ms6w,5,2,J14e,6,9,Ms3,Kawazoe,Miyagino,Kumamoto,10.04.1999,2022.09,Nihon University,166 cm 110 kg,Ms3,Ms1,23-12/35,Ms7e,5,2,4,3,Ms1w,5,2
2,5,Mineyaiba,Shikoroyama,Saitama,26.03.1999,2019.03,Tokyo University of Agriculture,188 cm 145 kg,Ms4,Ms4,99-56-13/154,Ms17e,6,1,Ms12w,4,3,Ms4,Kaisho,Asakayama,Aichi,28.01.1995,2013.03,NA,182 cm 155 kg,J2,J2,258-235-23/491,J13w,5,10,3,4,Ms9w,4,3
4,3,Chiyonoumi,Kokonoe,Kochi,11.01.1993,2015.05,Nippon Sport Science University,182 cm 135 kg,J8,J8,220-176-45/395,Ms7w,4,3,Ms3w,4,3,Ms5,Tochikamiyama,Kasugano,Saitama,11.01.2001,2019.01,NA,179 cm 152 kg,Ms3,Ms3,100-75/175,Ms3w,3,4,2,5,Ms15e,2,5
6,1,Shiden,Kise,Tokyo,24.12.1991,2014.03,Nihon University,176 cm 151 kg,J12,J12,216-147-23/362,Ms4e,3,4,Ms1e,4,3,Ms6,Hayatefuji,Isegahama,Shizuoka,06.12.2001,2020.01,NA,168 cm 122 kg,Ms6,Ms4,81-52/133,Ms23e,6,1,4,3,Ms4w,3,4
1,6,Chiyoarashi,Kokonoe,Chiba,12.07.1991,2007.03,NA,177 cm 145 kg,J10,J10,359-284-71/641,Ms9e,4,3,Ms29e,4,3,Ms7,Ishizaki,Takasago,Osaka,24.09.1998,2021.05,Nippon Sport Science University,176 cm 120 kg,Ms1,Ms1,56-32-3/88,Ms1w,2,5,3,4,Ms11e,5,2
4,3,Mukainakano,Miyagino,Mie,07.09.2002,2021.05,NA,180 cm 171 kg,Ms8,Ms6,54-23-7/77,Ms13w,5,2,Ms6e,4,3,Ms8,Yago,Oshiogawa,Hokkaido,08.07.1994,2017.05,Chuo University,187 cm 175 kg,M10,M10,212-233/445,Ms11e,4,3,2,5,Ms17w,4,3
3,4,Tochimaru,Kasugano,Tokyo,26.08.1992,2011.05,NA,172 cm 148 kg,J11,J11,276-234-11/507,Ms11w,4,3,Ms16w,3,4,Ms9,Yuma,Onomatsu,Osaka,13.06.1998,2014.03,NA,178 cm 118 kg,Ms9,Ms5,185-130-49/315,Ms12w,4,3,5,2,Ms5e,5,2
4,3,Akiseyama,Kise,Aichi,18.07.1985,2008.01,Nihon University,182 cm 183 kg,M12,M12,467-471-29/937,Ms13e,4,3,Ms7w,2,5,Ms10,Kamito,Tatsunami,Nagasaki,19.08.1995,2017.03,NA,176 cm 128 kg,Ms4,Ms4,138-113-1/251,Ms4w,2,5,4,3,Ms8e,3,4
5,2,Dewanoryu,Dewanoumi,Mongolia,07.03.2001,2019.09,NA,179 cm 143 kg,Ms3,Ms3,84-46-10/129,Ms6e,3,4,Ms7e,2,5,Ms11,Hatsuyama,Tamanoi,Tokyo,05.11.1999,2022.03,Toyo University,190 cm 140 kg,Ms11,Ms11,36-19-1/54,Ms33e,6,1,2,5,Ms25e,4,3
6,1,Shishi,Ikazuchi,Ukraine,16.01.1997,2020.01,NA,191 cm 159 kg,Ms7,Ms2,82-42-2/123,Ms20e,5,2,Ms2w,6,1,Ms12,Tochiseiryu,Kasugano,Gifu,26.04.1995,2014.03,NA,174 cm 133 kg,Ms7,Ms7,202-173-3/375,Ms8e,3,4,1,3,Ms35w,2,5
2,5,Tanabe,Kise,Gifu,12.05.1994,2017.03,Kanazawa Gakuin University,190 cm 130 kg,Ms8,Ms8,138-107-7/245,Ms8w,3,4,Ms26e,3,4,Ms13,Kiryuko,Tatsunami,Chiba,31.10.2002,2021.05,NA,175 cm 130 kg,Ms13,Ms13,57-27/84,Ms17w,4,3,2,5,Ms26w,7,0
