Qual.,Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
0,April Visser,UNLV,2B,0.361,0.495,0.693,1.188,58,218,166,51,60,8,1,15,47,13,34,34,6,1
0,Ari Castillo,Rhode Island,SS,0.292,0.355,0.496,0.852,45,155,137,18,40,10,0,6,28,0,14,13,5,0
0,Ariel Carlson,Oregon,RF,0.271,0.35,0.636,0.986,50,160,140,35,38,4,1,15,42,4,14,35,9,2
0,Ariyana Miranda,Eastern Kentucky,SS,0.233,0.291,0.349,0.64,44,141,129,19,30,10,1,1,15,4,7,25,3,0
0,Arizona Ritchie,Virginia,2B,0.213,0.304,0.238,0.542,52,140,122,18,26,3,0,0,14,3,13,13,3,0
0,Armani Brown,Marshall,SS,0.188,0.233,0.208,0.441,44,110,96,17,18,2,0,0,7,0,6,18,5,0
0,Ashleigh Duty,Georgia Southern,DP,0.269,0.319,0.278,0.597,41,119,108,24,29,1,0,0,0,1,7,25,11,2
0,Ashleigh Inae,Long Beach State,3B,0.321,0.399,0.393,0.792,49,159,140,21,45,10,0,0,14,4,14,11,2,1
0,Ashley McDonald,Princeton,C,0.208,0.226,0.292,0.517,45,133,120,12,25,7,0,1,10,2,1,18,1,0
0,Ashley Michelena,Colorado State,CF,0.335,0.374,0.391,0.766,46,172,161,25,54,5,2,0,4,0,10,17,8,1
0,Ashley Morgan,Tennessee,1B,0.24,0.419,0.493,0.913,59,200,150,23,36,5,0,11,30,22,25,18,0,0
0,Ashley Prange,Alabama,3B,0.333,0.457,0.62,1.077,55,192,150,40,50,13,3,8,27,5,31,15,2,0
0,Ashley Trierweiler,Santa Clara,CF,0.392,0.438,0.468,0.906,51,187,171,36,67,9,2,0,18,1,13,17,18,4
0,Ashley Wood,Southern Illinois,SS,0.318,0.463,0.507,0.97,47,193,148,36,47,10,0,6,28,11,30,15,5,1
0,Ashley Wruble,Saint Francis,LF,0.301,0.438,0.381,0.819,49,148,113,25,34,3,0,2,21,11,19,16,4,2
0,Ashlyn Anderson,Kansas,3B,0.288,0.383,0.565,0.947,55,198,170,36,49,15,1,10,31,1,25,33,2,0
0,Ashlynn Gunter,Georgia Southern,2B,0.235,0.336,0.296,0.632,43,119,98,7,23,1,1,1,7,2,13,17,2,0
0,Ashton VanHouse,Winthrop,LF,0.308,0.343,0.346,0.689,53,143,130,22,40,3,1,0,10,0,7,21,22,1
0,Aspen Howie,Houston,CF,0.273,0.371,0.54,0.911,54,175,150,27,41,7,0,11,34,1,23,16,0,2
0,Aspyn Godwin,Auburn,C,0.235,0.325,0.569,0.893,50,120,102,19,24,4,0,10,17,0,14,25,2,0
0,Aubree DePron,Southern Illinois,CF,0.278,0.347,0.344,0.692,46,173,151,26,42,3,2,1,16,1,15,27,15,3
0,Aubrey Reed,Toledo,C,0.301,0.424,0.54,0.964,44,139,113,23,34,4,1,7,27,7,18,24,4,0
0,Audrey Greely,Southeastern Louisiana,DP,0.344,0.433,0.508,0.941,49,142,122,32,42,10,2,2,23,4,15,30,10,4
0,Audrey LeClair,Michigan,RF,0.315,0.351,0.411,0.762,46,134,124,28,39,5,2,1,15,0,7,14,10,2
0,Audrey Lyle,Belmont,C,0.223,0.307,0.372,0.678,50,140,121,14,27,6,0,4,24,1,14,36,1,0
0,Audrey Sellers,Boston University,C,0.207,0.284,0.25,0.534,45,107,92,13,19,4,0,0,7,4,6,12,3,1
0,Audrie LaValley,Arkansas,2B,0.289,0.424,0.43,0.853,51,148,114,23,33,4,0,4,13,4,24,25,0,0
