Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
165T. Harris(WAR),13,13,910,0,3,0,-,0,0,151,"1,264",0,8,4,0,0,496,25,4,4,0,0
165Z. Hosking(PEN),13,12,848,3,0,0,-,0,12,135,"1,009",3,22,13,1,21,421,16,5,1,0,0
165J. Host(SOU),13,12,730,3,1,0,-,0,12,108,904,3,6,3,0,0,267,25,4,8,0,0
165N. Hynes(CRO),13,13,"1,033",3,19,61,79,1,135,94,983,5,36,17,195,"5,768",219,15,26,4,0,0
165E. Katoa(MEL),13,13,906,1,3,0,-,0,4,147,"1,297",8,29,9,0,0,330,27,8,9,0,0
165J. Kiraz(CBY),13,13,967,4,2,0,-,0,16,240,"1,973",5,41,27,3,23,60,22,10,3,0,0
165A. Koroisau(WST),13,11,830,2,4,2,66,0,12,50,500,2,15,7,12,233,384,46,6,5,0,0
165B. Lee(DOL),13,13,881,0,3,0,-,0,0,121,"1,099",0,14,3,4,68,144,20,6,2,0,0
165S. Leniu(PEN),13,1,445,1,0,0,-,0,4,130,"1,267",1,20,0,0,0,206,18,3,4,1,0
165S. Luke(PEN),13,0,382,1,3,0,-,0,4,33,252,1,6,3,10,79,215,17,6,3,1,0
165J. Manu(SYD),13,13,"1,012",5,2,0,-,0,20,187,"1,586",4,73,18,17,394,234,46,12,10,1,0
165M. Nicholls(DOL),13,1,561,3,0,0,-,0,12,147,"1,262",3,11,1,1,17,317,16,3,4,1,0
165K. Nikorima(DOL),13,11,919,3,11,0,-,0,12,67,654,7,28,7,42,874,171,30,10,6,1,0
165M. Niukore(WAR),13,13,866,1,2,0,-,0,4,137,"1,191",3,21,4,2,40,355,20,5,9,3,0
165J. Okunbor(CBY),13,5,695,2,0,0,-,0,8,83,689,2,12,4,3,65,288,28,5,4,1,0
165C. Randall(GLD),13,10,705,2,1,0,-,0,8,43,400,2,8,2,0,0,367,20,2,3,0,0
165J. Rapana(CBR),13,13,"1,016",7,3,0,-,0,28,164,"1,343",7,41,8,2,19,77,19,15,7,0,0
165H. Sele(SOU),13,11,551,1,0,0,-,0,4,157,"1,465",1,18,2,0,0,291,17,2,3,0,0
