X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List,DiveMeets - Dive List
,,,,In last 12 Months,In last 12 Months,In last 12 Months,Overall,Overall,Overall
Dive,Height,Description,DD,AvgScore,HighScore,# of Times,AvgScore,HighScore,# of Times
,,,,,,,,,
113B,3M,Forward Flying 1 1/2 Somersault Pike,1.80,34.35,47.70,14,35.87,47.70,187
113B,5M,Forward Flying 1 1/2 Somersault Pike,1.90,0.00,0.00,0,39.37,47.50,8
113B,7M,Forward Flying 1 1/2 Somersault Pike,1.80,38.70,38.70,2,39.26,45.60,15
113B,10M,Forward Flying 1 1/2 Somersault Pike,1.80,33.30,37.80,4,36.87,48.60,48
113C,1M,Forward Flying 1 1/2 Somersault Tuck,1.80,22.32,33.30,5,28.81,44.10,47
113C,3M,Forward Flying 1 1/2 Somersault Tuck,1.70,22.10,22.10,1,33.31,43.35,33
113C,5M,Forward Flying 1 1/2 Somersault Tuck,1.80,0.00,0.00,0,34.20,34.20,1
113C,7M,Forward Flying 1 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0
113C,10M,Forward Flying 1 1/2 Somersault Tuck,1.70,0.00,0.00,0,0.00,0.00,0
114B,5M,Forward Flying 2 Somersault Pike,2.50,0.00,0.00,0,0.00,0.00,0
114B,7M,Forward Flying 2 Somersault Pike,2.30,0.00,0.00,0,0.00,0.00,0
114B,10M,Forward Flying 2 Somersault Pike,2.40,0.00,0.00,0,0.00,0.00,0
114B,60M,Forward Flying 2 Somersault Pike,3.00,0.00,0.00,0,0.00,0.00,0
114B,75M,Forward Flying 2 Somersault Pike,3.50,0.00,0.00,0,0.00,0.00,0
114B,90M,Forward Flying 2 Somersault Pike,4.10,0.00,0.00,0,0.00,0.00,0
114C,5M,Forward Flying 2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0
114C,7M,Forward Flying 2 Somersault Tuck,2.20,0.00,0.00,0,0.00,0.00,0
114C,10M,Forward Flying 2 Somersault Tuck,2.30,0.00,0.00,0,0.00,0.00,0
114C,60M,Forward Flying 2 Somersault Tuck,2.90,0.00,0.00,0,0.00,0.00,0
114C,75M,Forward Flying 2 Somersault Tuck,3.40,0.00,0.00,0,0.00,0.00,0
114C,90M,Forward Flying 2 Somersault Tuck,3.90,0.00,0.00,0,0.00,0.00,0
115B,3M,Forward Flying 2 1/2 Somersault Pike,2.70,41.85,41.85,1,43.47,71.55,5
115B,10M,Forward Flying 2 1/2 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0
115C,1M,Forward Flying 2 1/2 Somersault Tuck,2.70,0.00,0.00,0,51.30,51.30,1
115C,3M,Forward Flying 2 1/2 Somersault Tuck,2.50,0.00,0.00,0,29.38,35.00,2
115C,7M,Forward Flying 2 1/2 Somersault Tuck,2.50,0.00,0.00,0,0.00,0.00,0
115C,10M,Forward Flying 2 1/2 Somersault Tuck,2.40,0.00,0.00,0,0.00,0.00,0
116B,60M,Forward Flying 3 Somersault Pike,4.20,0.00,0.00,0,0.00,0.00,0
116B,75M,Forward Flying 3 Somersault Pike,4.70,0.00,0.00,0,0.00,0.00,0
116B,90M,Forward Flying 3 Somersault Pike,5.30,0.00,0.00,0,0.00,0.00,0
116C,60M,Forward Flying 3 Somersault Tuck,3.80,0.00,0.00,0,0.00,0.00,0
116C,75M,Forward Flying 3 Somersault Tuck,4.30,0.00,0.00,0,0.00,0.00,0
116C,90M,Forward Flying 3 Somersault Tuck,4.80,0.00,0.00,0,0.00,0.00,0
200A,1M,Back Jump Straight,1.00,17.08,26.50,1737,16.99,49.80,27922
200A,3M,Back Jump Straight,1.00,16.32,25.00,1638,16.50,37.20,24088
200A,5M,Back Jump Straight,1.00,17.34,25.00,37,16.70,25.50,1210
200A,7M,Back Jump Straight,1.00,0.00,0.00,0,16.24,23.00,25
200A,10M,Back Jump Straight,1.00,0.00,0.00,0,18.10,37.20,14
200B,1M,Back Jump Pike,1.00,17.21,24.00,246,17.00,25.00,3062
200B,3M,Back Jump Pike,1.00,16.71,25.50,173,16.94,26.50,2190
200B,5M,Back Jump Pike,1.00,13.25,16.00,4,16.57,24.00,65
200B,7M,Back Jump Pike,1.00,0.00,0.00,0,16.50,19.50,2
200B,10M,Back Jump Pike,1.00,0.00,0.00,0,0.00,0.00,0
200C,1M,Back Jump Tuck,1.00,16.74,44.00,880,16.83,44.00,10856
200C,3M,Back Jump Tuck,1.00,16.34,26.50,947,16.48,33.60,10552
200C,5M,Back Jump Tuck,1.00,17.23,23.00,31,17.05,28.50,474
200C,7M,Back Jump Tuck,1.00,0.00,0.00,0,17.75,21.50,16
200C,10M,Back Jump Tuck,1.00,0.00,0.00,0,19.50,23.50,3
200D,1M,Back Jump Free,1.00,16.50,16.50,1,18.14,30.00,81
200D,3M,Back Jump Free,1.00,0.00,0.00,0,17.93,29.00,95
200D,5M,Back Jump Free,1.00,0.00,0.00,0,17.08,19.50,6
200D,7M,Back Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
200D,10M,Back Jump Free,1.00,0.00,0.00,0,0.00,0.00,0
201A,1M,Back Dive Straight,1.70,24.23,53.00,2453,24.90,57.00,36801
201A,3M,Back Dive Straight,1.90,29.49,49.40,425,29.93,55.10,9354
201A,5M,Back Dive Straight,1.70,30.40,39.95,26,28.60,45.05,400
201A,7M,Back Dive Straight,1.90,0.00,0.00,0,31.35,42.75,9
201A,10M,Back Dive Straight,1.90,0.00,0.00,0,32.84,42.75,7
201B,1M,Back Dive Pike,1.60,28.84,49.20,5925,28.52,54.60,95718
201B,3M,Back Dive Pike,1.80,31.99,51.60,4844,32.44,65.00,82883
201B,5M,Back Dive Pike,1.60,27.47,40.00,468,27.78,51.60,6650
201B,7M,Back Dive Pike,1.80,34.81,48.60,94,33.29,54.00,1715
201B,10M,Back Dive Pike,1.80,38.62,51.00,107,40.00,58.20,1717
201C,1M,Back Dive Tuck,1.50,24.83,46.80,4881,23.87,52.20,66422
201C,3M,Back Dive Tuck,1.70,27.88,47.50,3090,27.17,61.00,46008
201C,5M,Back Dive Tuck,1.50,23.99,38.25,548,24.63,48.00,9336
201C,7M,Back Dive Tuck,1.70,31.27,40.80,14,30.21,45.90,407
201C,10M,Back Dive Tuck,1.70,0.00,0.00,0,35.47,55.20,77
202A,1M,Back  1 Somersault Straight,1.70,25.06,40.80,1652,25.02,44.40,16698
202A,3M,Back  1 Somersault Straight,1.80,24.41,45.90,345,25.27,50.40,4615
202A,5M,Back  1 Somersault Straight,1.70,26.76,39.95,41,24.73,41.65,457
202A,7M,Back  1 Somersault Straight,1.80,27.93,38.88,11,34.35,48.60,44
202A,10M,Back  1 Somersault Straight,1.90,0.00,0.00,0,35.36,53.20,49
202A,60M,Back  1 Somersault Straight,2.70,0.00,0.00,0,0.00,0.00,0
202A,75M,Back  1 Somersault Straight,3.20,0.00,0.00,0,0.00,0.00,0
202A,90M,Back  1 Somersault Straight,4.40,0.00,0.00,0,0.00,0.00,0
202B,1M,Back  1 Somersault Pike,1.60,22.93,34.40,188,22.55,39.10,2678
202B,3M,Back  1 Somersault Pike,1.70,23.18,30.60,22,23.07,37.40,445
202B,5M,Back  1 Somersault Pike,1.60,15.05,20.50,2,23.81,34.40,18
202B,7M,Back  1 Somersault Pike,1.70,0.00,0.00,0,0.00,0.00,1
202B,10M,Back  1 Somersault Pike,1.80,37.80,37.80,1,33.33,45.00,11
202B,60M,Back  1 Somersault Pike,2.60,0.00,0.00,0,0.00,0.00,0
202B,75M,Back  1 Somersault Pike,3.10,0.00,0.00,0,0.00,0.00,0
202B,90M,Back  1 Somersault Pike,3.70,0.00,0.00,0,0.00,0.00,0
202C,1M,Back  1 Somersault Tuck,1.50,20.65,37.50,1885,20.49,43.20,24345
202C,3M,Back  1 Somersault Tuck,1.60,22.70,35.20,392,21.78,38.40,4575
202C,5M,Back  1 Somersault Tuck,1.50,23.13,30.00,24,21.94,39.00,267
