Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
Lafayette,Patriot,East,2.33,11.01,34.54,1.31,13.6,0.18,11.93,0.227,191,8,15,0.348
Delaware St.,MEAC,Southeast,2.2,11.45,29.98,2.17,12.58,0.25,12.12,0.137,246,24,7,0.774
Yale,Ivy League,East,2.15,12.6,35.39,1.82,15.29,0.242,13.9,0.155,200,23,3,0.885
Coppin St.,MEAC,Southeast,2.15,10.56,32.52,1.81,14.22,0.194,11.54,0.17,286,23,11,0.676
Saint Louis,Atlantic 10,East,2.03,11.61,34.1,1.83,14.27,0.201,12.4,0.188,250,18,13,0.581
UTEP,C-USA,South,1.98,11.46,31.53,2.39,12.59,0.226,12.24,0.175,240,17,13,0.567
Samford,SoCon,Southeast,1.93,12.26,37.03,1.73,15.39,0.227,13.7,0.202,226,19,13,0.594
Lipscomb,ASUN,Southeast,1.91,12.91,35.55,1.85,13.21,0.238,13.63,0.23,197,16,13,0.552
Southern Ill.,MVC,Midwest,1.91,13.18,36.45,1.36,15.17,0.248,14.11,0.237,231,18,13,0.581
Howard,MEAC,Southeast,1.91,11.91,31.61,1.73,13.2,0.255,13.01,0.179,202,20,10,0.667
Western Ky.,C-USA,South,1.9,12.59,31.05,2.56,12.48,0.318,13.6,0.185,211,29,4,0.879
Middle Tenn.,C-USA,South,1.9,11.19,30.54,2,12.62,0.253,12.22,0.228,203,15,14,0.517
Alabama,SEC,Southeast,1.88,11.28,36.34,2.19,13.72,0.169,12.32,0.222,207,10,20,0.333
Siena,MAAC,East,1.87,11.22,36.37,1.7,15.3,0.183,12.13,0.184,209,13,17,0.433
Dayton,Atlantic 10,East,1.86,11.59,34.44,2.37,13.62,0.223,12.74,0.191,242,20,14,0.588
Alabama St.,SWAC,South,1.85,10.69,30.6,2.02,12.87,0.212,11.59,0.186,230,20,15,0.571
FGCU,ASUN,Southeast,1.85,12.69,32.97,2.06,13.96,0.263,13.47,0.172,211,26,7,0.788
Ga. Southern,Sun Belt,South,1.84,11.28,34.55,2.03,15.3,0.21,12.13,0.176,188,16,12,0.571
North Carolina,ACC,East,1.84,11.51,34.63,2.31,13.86,0.208,12.82,0.209,199,17,12,0.586
Canisius,MAAC,East,1.83,11.3,36.83,1.7,15.93,0.184,12.18,0.191,190,13,15,0.464
Fla. Atlantic,C-USA,South,1.82,12.58,34.91,1.95,13.6,0.226,13.27,0.213,173,13,13,0.5
Pacific,WCC,West,1.82,11.85,34.43,1.14,13.85,0.18,12.93,0.211,222,18,14,0.562
Quinnipiac,MAAC,East,1.82,11.41,34.86,1.61,14.73,0.192,12.44,0.202,187,14,15,0.483
Dartmouth,Ivy League,East,1.8,11.93,36.35,2.2,15.44,0.221,13.11,0.192,153,16,9,0.64
Cornell,Ivy League,East,1.8,10.87,33.77,1.78,12.89,0.21,12.06,0.255,149,6,17,0.261
Northeastern,CAA,East,1.79,11.4,32.76,2.03,13.1,0.21,12.16,0.192,188,14,13,0.519
Lamar University,Southland,South,1.79,11.12,36.11,2.06,14.43,0.184,12.14,0.217,202,9,20,0.31
Saint Francis,NEC,East,1.79,11.95,35.5,1.35,14.49,0.18,12.66,0.204,193,12,16,0.429
San Jose St.,Mountain West,West,1.79,12.95,33.79,2.28,13.15,0.237,13.89,0.21,209,21,9,0.7
James Madison,Sun Belt,East,1.79,12.08,33.23,2.66,13.39,0.27,13.13,0.207,191,24,5,0.828
Mercer,SoCon,Southeast,1.78,10.71,32.46,1.64,12.26,0.206,11.95,0.238,187,10,19,0.345
Marquette,Big East,Midwest,1.78,13.34,34.78,1.98,15.7,0.287,14.41,0.185,206,29,4,0.879
Indiana,Big Ten,Midwest,1.77,11.01,33.37,2.03,12.85,0.192,12.19,0.195,218,16,16,0.5
Georgia,SEC,Southeast,1.77,11.98,32.54,2.64,12.32,0.236,12.88,0.187,212,23,8,0.742
UMBC,America East,East,1.76,11.85,34.15,2.42,13.48,0.216,12.68,0.192,180,17,9,0.654
